127.0.0.1 - - [18/Jul/2024:15:26:42 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [18/Jul/2024:15:26:43 +0530] "GET /Person_Details/ HTTP/1.1" 200 1510
0:0:0:0:0:0:0:1 - - [18/Jul/2024:15:26:43 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [18/Jul/2024:15:27:24 +0530] "POST /Person_Details/dis HTTP/1.1" 500 2878
0:0:0:0:0:0:0:1 - - [18/Jul/2024:15:29:27 +0530] "POST /Person_Details/dis HTTP/1.1" 500 2878
0:0:0:0:0:0:0:1 - - [18/Jul/2024:15:30:14 +0530] "POST /Person_Details/dis HTTP/1.1" 500 2878
0:0:0:0:0:0:0:1 - - [18/Jul/2024:15:30:17 +0530] "GET /Person_Details/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2024:15:30:29 +0530] "POST /Person_Details/dis HTTP/1.1" 500 2878
0:0:0:0:0:0:0:1 - - [18/Jul/2024:15:36:47 +0530] "GET /Person_Details/ HTTP/1.1" 200 1605
0:0:0:0:0:0:0:1 - - [18/Jul/2024:15:37:09 +0530] "POST /Person_Details/dis HTTP/1.1" 500 2481
0:0:0:0:0:0:0:1 - - [18/Jul/2024:15:37:35 +0530] "POST /Person_Details/dis HTTP/1.1" 500 2878
0:0:0:0:0:0:0:1 - - [18/Jul/2024:15:43:06 +0530] "GET /Person_Details/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2024:15:43:21 +0530] "POST /Person_Details/dis HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [18/Jul/2024:15:43:48 +0530] "POST /Person_Details/dis HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [18/Jul/2024:15:43:53 +0530] "POST /Person_Details/dis HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [18/Jul/2024:15:43:57 +0530] "POST /Person_Details/dis HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [18/Jul/2024:15:44:11 +0530] "POST /Person_Details/dis HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [18/Jul/2024:15:46:06 +0530] "POST /Person_Details/dis HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [18/Jul/2024:15:46:16 +0530] "POST /Person_Details/dis HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [18/Jul/2024:15:46:42 +0530] "POST /Person_Details/dis HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [18/Jul/2024:15:48:26 +0530] "GET /Person_Details/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2024:15:48:58 +0530] "POST /Person_Details/dis HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [18/Jul/2024:15:49:41 +0530] "POST /Person_Details/dis HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [18/Jul/2024:15:49:44 +0530] "POST /Person_Details/dis HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [18/Jul/2024:15:50:03 +0530] "GET /Person_Details/ HTTP/1.1" 200 1605
0:0:0:0:0:0:0:1 - - [18/Jul/2024:15:50:20 +0530] "POST /Person_Details/dis HTTP/1.1" 500 2866
0:0:0:0:0:0:0:1 - - [18/Jul/2024:15:50:57 +0530] "GET /Person_Details/ HTTP/1.1" 200 1605
0:0:0:0:0:0:0:1 - - [18/Jul/2024:15:51:10 +0530] "POST /Person_Details/dis HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [18/Jul/2024:15:54:15 +0530] "GET /Person_Details/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2024:15:54:30 +0530] "POST /Person_Details/dis HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [18/Jul/2024:15:54:45 +0530] "POST /Person_Details/dis HTTP/1.1" 200 378
